rssi,snr,ax,ay,az,wx,wy,wz,mx,my,mz,temperature,p,time,timeOfWeek,timeOFWeekFracPart,gpsFix,ecefx,ecefy,ecefz,positionAcc3D,ecefvx,ecefvy,ecefvz,speedAcc,numbSat,drogueStatus
-82,27,-976.699,-78.4314,-215.686,-0.0111853,0.0740359,-0.00692422,4722.04,-3290.48,-1746.47,27.4875,94096,276,592602000,-6,0,637813700,0,0,649519040,0,0,0,2000,0,1
-81,24,-972.816,-82.3529,-215.686,-0.00692422,0.0740359,-0.00798948,4722.04,-3329.15,-1698.31,27.4813,94100,276,592602209,453080,3,391946623,-435477176,-251399840,1230,11,-5,0,68,9,1
-81,24,-976.699,-74.5098,-223.529,-0.0111853,0.0719054,-0.0154463,4497.81,-3445.17,-1794.64,27.4688,94109,277,592602800,455274,3,391946592,-435477156,-251399850,722,7,0,-1,19,9,1
-81,26,-972.816,-66.6667,-219.608,-0.0133158,0.0751011,-0.0197074,4609.93,-3329.15,-1746.47,27.4875,94096,276,592603000,456018,3,391946580,-435477142,-251399847,642,5,0,-2,17,9,1
-81,27,-984.466,-82.3529,-211.765,-0.0133158,0.066579,-0.0143811,4684.67,-3329.15,-1650.14,27.4875,94096,277,592603400,457510,3,391946577,-435477130,-251399842,543,7,-1,-1,17,9,1
-81,25,-980.583,-74.5098,-223.529,-0.00585895,0.0761664,-0.0165116,4572.55,-3445.17,-1794.64,27.4875,94106,276,592603600,458258,3,391946575,-435477125,-251399839,509,5,-1,-2,16,9,1
-81,24,-972.816,-74.5098,-219.608,-0.00585895,0.0782969,-0.0111853,4684.67,-3329.15,-1698.31,27.5063,94112,276,592603800,459006,3,391946577,-435477126,-251399838,480,5,-2,-2,15,9,1
-81,26,-976.699,-78.4314,-223.529,-0.00266316,0.0772317,-0.01012,4609.93,-3329.15,-1746.47,27.4875,94112,277,592604200,460505,3,391946573,-435477120,-251399835,437,10,2,-3,16,9,1
-81,25,-968.932,-86.2745,-219.608,-0.0175769,0.0708401,-0.0165116,4535.18,-3406.5,-1746.47,27.5,94096,276,592604400,461256,3,391946569,-435477119,-251399834,421,10,1,-4,16,9,1
-81,25,-968.932,-74.5098,-227.451,-0.0122505,0.0719054,-0.0111853,4684.67,-3367.82,-1746.47,27.5,94102,277,592604800,462766,3,391946564,-435477112,-251399828,397,11,-1,-3,16,8,1
-81,24,-972.816,-74.5098,-211.765,-0.00585895,0.0751011,-0.0133158,4609.93,-3290.48,-1601.98,27.525,94105,276,592605000,463523,3,391946560,-435477109,-251399826,387,9,-1,-5,16,8,1
